N	Series computation
0	0
10	3.04936
20	3.09467
30	3.11013
40	3.11793
50	3.12263
60	3.12577
70	3.12802
80	3.12971
90	3.13102
100	3.13208
110	3.13294
120	3.13366
130	3.13427
140	3.13479
150	3.13524
160	3.13564
170	3.13599
180	3.1363
190	3.13658
200	3.13683
210	3.13705
220	3.13726
230	3.13745
240	3.13762
250	3.13778
260	3.13792
270	3.13806
280	3.13819
290	3.1383
300	3.13841
310	3.13852
320	3.13861
330	3.1387
340	3.13879
350	3.13887
360	3.13894
370	3.13901
380	3.13908
390	3.13915
400	3.13921
410	3.13927
420	3.13932
430	3.13937
440	3.13942
450	3.13947
460	3.13952
470	3.13956
480	3.1396
490	3.13965
500	3.13968
510	3.13972
520	3.13976
530	3.13979
540	3.13983
550	3.13986
560	3.13989
570	3.13992
580	3.13995
590	3.13998
600	3.14
610	3.14003
620	3.14005
630	3.14008
640	3.1401
650	3.14012
660	3.14015
670	3.14017
680	3.14019
690	3.14021
700	3.14023
710	3.14025
720	3.14027
730	3.14029
740	3.1403
750	3.14032
760	3.14034
770	3.14035
780	3.14037
790	3.14038
800	3.1404
810	3.14041
820	3.14043
830	3.14044
840	3.14046
850	3.14047
860	3.14048
870	3.1405
880	3.14051
890	3.14052
900	3.14053
910	3.14054
920	3.14056
930	3.14057
940	3.14058
950	3.14059
960	3.1406
970	3.14061
980	3.14062
990	3.14063
1000	3.14064
1010	3.14065
1020	3.14066
1030	3.14067
1040	3.14067
1050	3.14068
1060	3.14069
1070	3.1407
1080	3.14071
1090	3.14072
1100	3.14072
1110	3.14073
1120	3.14074
1130	3.14075
1140	3.14076
1150	3.14076
1160	3.14077
1170	3.14078
1180	3.14078
1190	3.14079
1200	3.1408
1210	3.1408
1220	3.14081
1230	3.14082
1240	3.14082
1250	3.14083
1260	3.14083
1270	3.14084
1280	3.14085
1290	3.14085
1300	3.14086
1310	3.14086
1320	3.14087
1330	3.14087
1340	3.14088
1350	3.14089
1360	3.14089
1370	3.1409
1380	3.1409
1390	3.14091
1400	3.14091
1410	3.14092
1420	3.14092
1430	3.14093
1440	3.14093
1450	3.14093
1460	3.14094
1470	3.14094
1480	3.14095
1490	3.14095
1500	3.14096
1510	3.14096
1520	3.14096
1530	3.14097
1540	3.14097
1550	3.14098
1560	3.14098
1570	3.14098
1580	3.14099
1590	3.14099
1600	3.141
1610	3.141
1620	3.141
1630	3.14101
1640	3.14101
1650	3.14101
1660	3.14102
1670	3.14102
1680	3.14102
1690	3.14103
1700	3.14103
1710	3.14103
1720	3.14104
1730	3.14104
1740	3.14104
1750	3.14105
1760	3.14105
1770	3.14105
1780	3.14106
1790	3.14106
1800	3.14106
1810	3.14107
1820	3.14107
1830	3.14107
1840	3.14107
1850	3.14108
1860	3.14108
1870	3.14108
1880	3.14108
1890	3.14109
1900	3.14109
1910	3.14109
1920	3.1411
1930	3.1411
1940	3.1411
1950	3.1411
1960	3.14111
1970	3.14111
1980	3.14111
1990	3.14111
2000	3.14112
2010	3.14112
2020	3.14112
2030	3.14112
2040	3.14112
2050	3.14113
2060	3.14113
2070	3.14113
2080	3.14113
2090	3.14114
2100	3.14114
2110	3.14114
2120	3.14114
